Date,Deal,Advisers
Administration & support services,,
9 Apr 2026,Acquisition of Pipelines 2 Data (P2d) (finance: existing / nd),FA - Quantify Advisors - Stats International
,Bidder: Stats International,
29 Apr 2026,Acquisition of Clarke Bridges Resourcing (finance: existing / nd),
,Bidder: Construction & Property Recruitment,
Construction,,
9 Apr 2026,Acquisition of First-Rate Maintenance (finance: existing / nd),A - FRP Advisory Trading - First-Rate Maintenance
,Bidder: DIMA FM T/A First-Rate Maintenance,
15 Apr 2026,Acquisition of HV Energy Systems (finance: existing / nd),"FA - FRP Advisory Trading - HV Energy Systems, "
,Bidder: RSK Environment,L - Osborne Clarke - HV Energy Systems
11 May 2026,Acquisition of Ifire UK (finance: existing / nd),"A - IRD Accountancy - Ifire UK, FA - Cortus Advisory - Ranger Services, "
,Bidder: Ranger Services,"L - Bellwether Green - Ifire UK, Freeths - Ranger Services"
Financial & insurance services,,
1 Apr 2026,£5.43m rights issue/other issue by Value & Indexed Property Income Trust (finance: cash) (EV/EBITDA:5.1),B - Shore Capital & Corporate - Value & Indexed Property Income Trust
2 Apr 2026,"£18.9m of development capital for Paysend (finance: cash, venture capital)",C - Claret Capital Partners - Paysend
15 Apr 2026,£0.88m rights issue/other issue by Murray International Trust (finance: cash) (EV/EBITDA:0.2),
22 Apr 2026,Rights issue/other issue by Murray International Trust (finance: cash),
5 May 2026,Rights issue/other issue by Scottish Mortgage Investment Trust (finance: cash),
Human health & social work,,
2 Apr 2026,Acquisition of Crannoch Residential Child Care Resource (finance: cash),"L - Macdonald Henderson - Inspire Longtown, Macgregor Thomson - "
,Bidder: Inspire Longtown,Crannoch Residential Child Care Resource
28 Apr 2026,Acquisition of Congleton Hearing Centre (finance: existing / nd),
,Bidder: Hearing Clinic (UK),
IT & Telecoms,,
1 Apr 2026,Minority stake in Future (Highland) (finance: existing / nd),
,Bidder: Accord Business Solutions,
20 Apr 2026,Acquisition of Planit Software Testing (finance: existing / nd),L - Roxburgh Milkins - 2I
,Bidder: 2I,
,Vendor: Planit Test Management Solutions Pty,
Manufacturing metal and machine products,,
8 Apr 2026,Acquisition of EOS Europe (finance: existing / nd),
,Bidder: Modutec,
Media,,
7 Apr 2026,Acquisition of Dundee Press Agency (finance: existing / nd),FA - Quantify Advisors - Hero Media & Entertainment
,Bidder: Hero Media & Entertainment,
Other manufacturing,,
2 Apr 2026,Employee buyout at William Sword (finance: existing / nd),L - Lindsays - William Sword
,Bidder: William Sword EOT Trustees,
2 Apr 2026,Acquisition of Packed Up (finance: cash),FA - HNH Partners - Hub Packaging
,Bidder: Hub Packaging,
21 Apr 2026,Acquisition of FIS Chemicals (finance: existing / nd),"C - Foresight - FIS Chemicals, Maven Capital Partners - FIS Chemicals, "
,Bidder: Shrieve Chemical,L - Paul Weiss Rifkind Wharton & Garrison - Shrieve Chemical
24 Apr 2026,Acquisition of Alexander Taylor Bakery (finance: existing / nd),FA - Business Partnership - Alexander Taylor Bakery
,Bidder: Alexander Taylor (Bakeries),
Other services,,
11 May 2026,"(Pending) Acquisition of OVO Home Services (finance: cash, venture capital)","C - Pollen Street Capital, Pollen Street Capital - Hometree Marketplace, "
,Bidder: Hometree Marketplace,L - Paul Weiss Rifkind Wharton & Garrison
,Vendor: OVO Energy,
"Professional, scientific & technical activities",,
1 Apr 2026,Acquisition of Smith & Wallace (finance: existing / nd),
,Bidder: Sedulo Foundation,
7 Apr 2026,Management buyout at McGowan Environmental Engineering (finance: existing / nd),
,Bidder: Sam Hesling and Kyle McGowan,
,Vendor: Brush,
9 Apr 2026,Acquisition of Medical & Professional CFP (finance: existing / nd),L - Roxburgh Milkins - Nine Edge Wealth
,Bidder: Nine Edge Wealth,
21 Apr 2026,Acquisition of Allenwest (finance: existing / nd),
,Bidder: Aprenda,
21 Apr 2026,"£10m of development capital for Exergy3 (finance: cash, venture capital)","C - Axeleo Capital - Exergy3, Bayern Kapital - Exergy3, Kibo Invest - "
,,"Exergy3, Old College Capital - Exergy3, Scottish Enterprise - Exergy3, "
,,Zero Carbon Capital - Exergy3
Transport & storage,,
8 Apr 2026,Acquisition of Eagle Coaches (finance: existing / nd),
,Bidder: First,
Utilities exc telecoms,,
2 Apr 2026,"£36m acquisition of Flexitricity (finance: existing / nd, cash)",
,Bidder: Drax,
2 Apr 2026,"Acquisition of Rekk Recycling (finance: bank debt, cash)","D - Kartesia Management - Papilo, Virgin Money - Papilo, FA -"
,Bidder: Papilo," Fellwood Advisory - Papilo, K3 Advisory - Rekk Recycling, MHA - Papilo, "
,,"L - Gateley - Papilo, Mackrell - Rekk Recycling"
22 Apr 2026,(Pending) Acquisition of Muir Mhòr Offshore Wind Farm (finance: existing / nd),
,Bidder: Fred Olsen Seawind AS,
,Vendor: Vattenfall AB,
Wholesale,,
8 Apr 2026,Acquisition of Angus Braidwood (finance: cash),"L - Macdonald Henderson - Dougall Metals, Thorntons Law - Angus Braidwood"
,Bidder: Dougall Metals,